id,product_id,website_id,normalized_leaf_category_id,department_name,iksula_category_identifier,product_url,product_title,model_number,manufacturing_brand
1312156,65020361,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B093ZP2N4B,"VN-40V vacuum pump, 220V 130W G1/4 36L/min Oil-free air compressor motor vacuum Built-in silencer pump Widely used in tractors, packaging machines and drug transports",,Yunir
1310395,49780701,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B08NFBZ6T8,"SPLOTY Cordless Tire Inflator, 11Bar/160Psi/1100Kpa Electric Bike Pump, Dual Power Supply 12V Car Charger Adapter or 20V 2.0Ah Battery Powered Air Compressor, 12L/Min(Max) Flow Handheld Air Compressor",‎K2,SPLOTY
1312307,70460622,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B09NR88BGB,HaroldDol 5.5HP 2 Piston V Style Twin Cylinder Air Compressor Head Pump，175PSI 4KW V Style Twin Cylinder Air Compressor Pump Motor Head Double Stage 21CFM,‎HG-WMTZXL-2615-PJ-TAN,HaroldDol
1310245,43776561,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B09286JJBH,Air Compressor - 0.3mm Mini Air Compressor Spray Gun Airbrush Set 7CC Capacity,,Ginorgee
1310382,49610486,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B08C7GGJGT,"RJQ Digital Compressor Bicycle Tire Air Pump Convenient Practical, User-Friendly Design Portable Bicycle Wheel MTB Road Mini Inflator for Basketball 7.2 (Color : Red) …",,YTEVYT
1312233,68727478,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B08CK8HR7Y,"dezirZJjx Ball Inflatable Pump, Two-Way Mini Inflation Equipment, Compact and Portable Football, Rugby, Volleyball, Basketball, Handball, Balloon Inflation Tube, Fast Inflation",,DezirZJjx
1310278,46549373,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B08NDVGVBP,"DNYSYSJ 2.2KW 3HP Air Compressor Pump Head, Oil Lubricated Air Compressor Piston Pump Head With Silencer and Screw, Exhaust Cylinder, 250L/min, Cast Iron Material (2.2KW 3HP)",,DNYSYSJ
1312220,68355673,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B095HJGZNJ,WUK Air Compressor 800-1580W Portable Tire Inflator Ultra Quiet Oil Free 220V Woodworking Spray Paint Air Pump Multi-Purpose Small Pneumatic Tools,,WUK
1312115,61462219,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B08FDQQBHX,Masterforce Ultra-Quiet 4-Gallon 150 PSI Portable Electric Horizontal Air Compressor,,Master Force
1312370,72077332,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B09SZC47CH,Sand Blaster Upgraded Auto Mini Airbrush Kit with Compressor 0.3mm Nozzles Portable Handheld Single-Action Cordless Gun Set For Tattoo DIY tool kits for home (Color : Clean kit),,Bevve
1312229,68597403,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B09WDF77J7,Lab Portable Air Compressor All-in-one Mobile Machine GU-P206S 4 Hole,,SGOE
1310266,45198706,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B08BFDM93Q,"YTEVYT Digital Compressor Multifunction Air Compressor 12V Digital Cordless Smart Tire Pressure Checker for Cars, Motorcycles, Swimming Rings 8.17",,YTEVYT
1312273,70050783,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B002LCF5BE,"Weston Gear Portable 12-Volt Mini Air Compressor Pump, 1/4 hp Motor (84-3001-W)",‎84-3001-W,Weston
1312256,69286127,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B00BMPG3CG,"NorthStar Portable Gas-Powered Air Compressor - Honda 163cc OHV Engine, 20-Gallon Horizontal Tank, 13.7 CFM at 90 PSI",‎459392,NorthStar
1312153,64694166,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B08V164XD1,"Piston Air Compressor, 1/3HP, 12VDCV",,Generic
1312417,72086312,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B07WMY3K59,"Speedaire, 40KH93, Air Compressor Pump, 175 psi, 1400 rpm",40KH93,Speedaire
1310385,49618427,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B08BQY32KF,"YTEVYT Digital Compressor Air Compressor Tire Inflator 150PSI Cordless Car Tire Inflator Rechargeable Portable Handheld Car Tire Inflator for Cars, Motorcycles and Other Inflatable Products 8.17",,YTEVYT
1312125,61893342,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B09Q8FZTQM,ngruama8 Portable Multi-Functional Cordless Airbrushes Kits for Sunless Tanning Temporary TattooPiston Air Compressor for Car Auto Repair Tool Painting Kit (Color : Part A Black),,ngruama8
